Poids,Poids1,nou1,r36a,r36ab,r36,q27_i1,q27_i2,q27_i3,q27_i16,q27_i13,n43_i4,n43_i5,n43_i6,nou10_i4,nou10_i2,q27_i8,q27_i17,q27_i14,q31,q32,nou10_i1,nou7
1.0345602,0.7653415,6,1,5,4,4,2,4,3,2,3,4,2,3,3,2,2,2,2,1,3,2
0.8772982,0.8848841,5,1,9,7,4,1,4,4,1,1,2,3,1,4,2,4,2,3,2,2,1
0.9742007,0.7180808,3,1,5,4,3,3,4,1,2,1,3,3,3,3,4,2,3,2,2,3,2
0.996555,1.0617011,6,1,7,7,4,3,3,3,3,3,3,3,2,4,3,3,3,2,2,3,2
0.852361,0.7466664,6,1,9,9,1,1,1,4,2,1,2,4,3,3,3,3,3,3,2,3,2
1.47351,1.3493229,7,1,7,7,3,5,3,3,2,3,4,3,3,4,2,3,2,3,2,2,1
1.3488046,2.3490458,10,3,14,7,2,1,4,4,2,1,1,4,1,4,4,4,2,4,1,1,1
0.990525,0.9429666,9,1,9,9,1,1,1,4,2,1,1,4,1,4,5,1,2,1,1,2,2
1.024225,0.9927132,99,1,9,12,1,1,3,3,2,1,3,3,1,3,2,2,3,3,2,3,1
1.030485,1.0333396,8,1,3,2,4,2,4,4,4,4,4,1,4,4,4,1,4,2,1,4,1
1.0134076,0.9469485,99,1,9,9,1,1,4,5,1,1,3,3,3,3,2,2,2,2,2,3,2
0.852361,1.4576555,99,3,14,13,1,1,2,1,1,1,1,3,1,4,4,1,4,1,1,4,2
1.0092409,0.9429259,99,1,3,3,3,3,4,4,1,3,3,2,2,3,2,2,3,2,1,3,2
1.0634856,0.6750682,99,1,4,7,3,3,4,3,2,4,4,1,4,4,3,2,3,2,1,3,2
0.9836658,1.0583788,1,1,3,3,4,3,3,3,3,3,3,2,3,4,3,1,4,2,1,4,2
1.101277,1.2088542,2,1,3,3,4,4,4,3,4,4,4,2,3,4,4,2,2,1,1,4,2
0.9174513,0.680194,4,1,5,4,4,3,4,5,2,2,4,2,4,4,3,1,3,2,1,3,2
1.0178083,1.138046,4,1,3,3,2,2,3,3,2,1,3,3,1,3,2,2,3,2,1,3,2
0.8991504,0.9205202,99,1,7,7,3,1,1,4,1,1,1,4,1,3,1,2,2,3,1,3,1
0.9520041,1.7229012,99,3,14,12,4,2,4,1,2,4,3,4,2,4,3,2,3,1,1,3,2
1.0046561,0.7403948,5,1,5,6,3,3,3,2,3,5,3,2,2,3,2,5,3,2,2,2,1
0.9744866,0.7596945,8,1,5,7,4,5,4,4,2,2,4,4,4,4,1,3,5,4,1,2,1
0.969677,1.0177553,1,1,3,3,4,2,3,4,3,1,2,2,2,2,3,1,3,1,1,4,2
0.9595835,0.9693354,7,1,7,7,2,1,3,3,2,1,2,3,1,4,1,3,1,4,1,1,1
0.9646595,0.571053,2,1,4,4,3,3,4,3,2,3,3,3,3,4,4,1,2,2,1,4,2
1.1034361,0.8549043,3,1,5,5,4,4,3,2,2,2,4,1,3,3,1,1,3,1,1,3,1
0.982778,0.9591975,99,1,8,4,2,1,4,1,1,1,3,3,1,4,4,1,3,2,1,2,2
0.9967553,0.7781432,4,1,5,4,3,3,2,3,3,2,3,3,3,3,3,2,3,3,2,3,1
0.8993312,0.8161932,8,1,8,7,4,4,4,4,2,3,4,2,4,4,4,2,4,3,2,3,1
0.9856949,0.7553447,9,1,5,7,1,1,4,1,1,1,1,4,1,4,2,3,1,3,2,2,2
1.0818472,1.1168451,0,1,3,3,4,4,4,3,2,2,4,2,4,4,3,1,4,2,1,4,2
1.0406986,0.8002211,6,1,5,6,2,2,4,2,2,2,2,3,2,3,2,2,2,2,1,2,1
0.9762198,0.9623582,7,1,7,7,4,2,5,5,2,2,3,2,3,4,2,2,3,3,2,2,1
0.9406834,1.0153241,6,1,7,7,3,2,3,4,5,2,3,3,2,3,2,4,3,4,2,2,1
0.8753163,0.659377,5,1,5,4,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,1
1.0354577,1.8522091,1,1,12,4,4,3,4,2,3,5,4,2,5,4,4,1,4,2,1,3,1
0.9313255,0.7216846,4,1,5,4,4,4,4,2,2,4,4,1,4,4,3,1,4,2,1,2,3
0.978601,0.7909683,6,1,5,6,2,3,2,4,2,3,3,2,3,3,2,2,2,3,2,3,1
0.9830912,1.0840228,3,1,3,6,4,4,4,1,2,3,4,4,4,4,3,2,3,2,2,3,2
1.0460718,0.9660758,99,1,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2
1.0386405,0.6345512,8,1,4,4,4,3,4,2,3,3,4,1,3,4,3,2,3,2,2,3,2
1.1080949,1.1563479,9,1,9,9,1,1,4,1,1,1,1,2,1,4,1,2,2,3,1,1,1
0.9421307,0.7166153,3,1,5,5,4,3,4,1,3,2,4,1,4,4,2,5,3,2,2,2,1
1.0565864,0.8064334,3,1,5,4,4,4,3,3,3,4,4,1,4,4,3,2,4,3,1,3,3
0.8869581,0.9117213,9,1,7,7,4,2,3,4,2,1,2,2,4,4,1,4,3,4,2,1,1
1.1034361,0.8549043,99,1,5,6,4,3,4,5,2,2,4,2,4,3,2,3,3,3,2,1,2
0.9919351,0.9842125,9,1,7,7,2,2,2,4,2,1,2,3,2,3,2,2,3,3,2,2,1
