pays,poids1,nou1,v0t1,t12022,r36b,q27_i2,q27_i22,q27_i31,q27_i32,q27_i8,q27_i14,q27_i23,q31bv15_i4
1,0.6685293,9.0,1.0,8.0,7.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0
1,0.6785355,99.0,1.0,7.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0
1,0.6991474,3.0,1.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0
1,0.7127593,3.0,1.0,6.0,5.0,3.0,3.0,3.0,,,3.0,2.0,1.0
1,0.7159978,5.0,1.0,6.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,,2.0
1,0.7197635,4.0,1.0,7.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,1.0
1,0.7235667,2.0,1.0,6.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0
1,0.724333,6.0,1.0,7.0,5.0,2.0,4.0,1.0,4.0,1.0,2.0,4.0,4.0
1,0.7249432,5.0,1.0,7.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0
1,0.7269202,8.0,1.0,6.0,9.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0
1,0.7375142,8.0,1.0,7.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
1,0.7451282,3.0,1.0,6.0,6.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0
1,0.759635,3.0,1.0,7.0,5.0,3.0,,3.0,2.0,4.0,3.0,2.0,
1,0.7882732,8.0,1.0,8.0,7.0,2.0,3.0,1.0,4.0,4.0,2.0,4.0,3.0
1,0.7955558,,1.0,7.0,5.0,,3.0,2.0,3.0,,1.0,4.0,2.0
1,0.7958369,3.0,1.0,11.0,9.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0
1,0.8100956,3.0,1.0,7.0,5.0,3.0,4.0,,4.0,3.0,3.0,2.0,2.0
1,0.8179057,8.0,1.0,7.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
1,0.8366586,3.0,1.0,6.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,1.0
1,0.8392423,6.0,1.0,7.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
1,0.8554787,3.0,1.0,7.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0
1,0.8581182,99.0,1.0,7.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,0.8671736,5.0,1.0,7.0,5.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,2.0
1,0.8746012,4.0,1.0,6.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0
1,0.8783918,4.0,1.0,7.0,5.0,4.0,4.0,,3.0,,3.0,4.0,3.0
1,0.8843072,2.0,1.0,4.0,,4.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0
1,0.8877858,7.0,1.0,7.0,5.0,1.0,4.0,3.0,4.0,1.0,1.0,3.0,4.0
1,0.8888814,2.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0
1,0.9162673,5.0,1.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0
1,0.9202115,5.0,1.0,7.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
1,0.9442568,3.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0
1,0.9445961,99.0,1.0,9.0,8.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0
1,0.9504796,99.0,1.0,7.0,5.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0
1,0.9624506,2.0,1.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0
1,0.9813389,5.0,1.0,7.0,5.0,4.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0
1,0.9832724,8.0,1.0,7.0,5.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0
1,0.9835677,8.0,1.0,7.0,5.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0
1,0.9963396,6.0,1.0,7.0,5.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0
1,1.0029566,3.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0
1,1.0136176,5.0,1.0,7.0,5.0,3.0,4.0,2.0,3.0,,2.0,2.0,2.0
1,1.0321429,5.0,1.0,7.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
