pays,poids1,poids5,nou1,v0t1,t12022,q27_i2,q27_i22,q27_i32,q6v16_i4,q17v16,q27_i8,q27_i14,q27_i23,q9v16
1,1.0719768,1.1905986,8.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,7.0
1,1.1641517,1.1657276,99.0,1.0,7.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,8.0
1,0.4774806,0.50002,7.0,1.0,8.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,10.0
1,1.0285898,1.0200047,5.0,1.0,7.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,8.0
1,0.8079035,0.7570038,3.0,1.0,6.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,8.0
1,0.434879,0.435476,9.0,1.0,11.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0
1,0.7555829,0.8424357,8.0,1.0,8.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,7.0
1,0.6429639,0.6434083,8.0,1.0,11.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,8.0
1,0.2769911,0.3144715,8.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,9.0
1,0.6634184,0.6647359,5.0,1.0,7.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,7.0
1,0.7728263,0.7217312,4.0,1.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0
1,0.4543202,0.4541756,8.0,1.0,11.0,3.0,3.0,3.0,1.0,4.0,2.0,2.0,4.0,9.0
1,1.36471,1.5133311,3.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,9.0
1,0.7946638,0.8512884,6.0,2.0,,2.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,7.0
1,0.8604258,0.8095531,6.0,1.0,6.0,2.0,4.0,3.0,1.0,2.0,4.0,4.0,1.0,6.0
1,0.7402691,0.7690425,7.0,1.0,8.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,3.0,6.0
1,0.4295902,0.459186,99.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
1,1.1259909,1.1147949,7.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,9.0
1,0.6016241,0.6050274,8.0,1.0,9.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,8.0
1,0.3582477,0.3666977,99.0,1.0,2.0,,2.0,,2.0,3.0,4.0,2.0,2.0,8.0
1,1.5224935,1.6795861,0.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,10.0
1,1.9651837,2.1621161,1.0,1.0,4.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,8.0
1,2.0338953,1.9769547,8.0,3.0,,1.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,5.0
1,0.4200008,0.3940063,4.0,1.0,5.0,3.0,4.0,,3.0,4.0,,,,5.0
1,0.862748,0.8674006,10.0,1.0,11.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,9.0
1,0.7578837,0.7525228,6.0,1.0,7.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0
1,0.752465,0.679739,9.0,1.0,8.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,7.0
1,1.1403197,1.1781372,6.0,1.0,13.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,
1,0.5461212,0.6347723,4.0,1.0,6.0,2.0,,4.0,2.0,2.0,,3.0,,5.0
1,0.7733399,0.7773904,5.0,1.0,7.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,8.0
1,0.5903413,0.5550454,3.0,1.0,6.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,6.0
1,1.4926845,1.5457605,2.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0
1,1.9077339,1.6896763,2.0,1.0,4.0,4.0,4.0,2.0,,2.0,4.0,4.0,2.0,7.0
1,1.5399433,1.5799122,6.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0
1,0.9326718,0.9168168,5.0,1.0,7.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,7.0
1,0.8329937,0.8312305,9.0,1.0,7.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,6.0
1,0.9849287,0.9764919,4.0,1.0,7.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,7.0
1,0.599261,0.6223732,7.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,7.0
1,0.8506503,0.878763,99.0,1.0,13.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0
1,0.693823,0.6886505,4.0,1.0,7.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,7.0
1,0.6365811,0.7097045,1.0,1.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,1.0,5.0
1,0.4143114,0.4605088,2.0,1.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,1.0,8.0
1,0.707935,0.7347835,6.0,1.0,8.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0
1,1.0917884,1.2131027,3.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0
1,0.8113745,0.940358,4.0,1.0,6.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,7.0
1,1.935733,1.7282766,0.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,7.0
1,0.6069838,0.6063394,10.0,1.0,11.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,8.0
1,0.3361601,0.3458448,6.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0
1,0.9802329,0.9761479,6.0,1.0,7.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,8.0
1,0.3618686,0.3218895,4.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,1.0,6.0
1,0.6570571,0.700152,6.0,1.0,9.0,1.0,,4.0,2.0,1.0,2.0,1.0,,5.0
1,0.6829753,0.6795575,9.0,1.0,11.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,7.0
1,0.6349912,0.634626,2.0,1.0,11.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,7.0
1,1.2837791,1.4151355,0.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,5.0
